Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Paris S-G,12,8,3,1,24,11,+13,27,2.25,20.5,11.6,+8.9,+0.74,DWDWW,"47,644","Bradley Barcola,João Neves-4",Lucas Chevalier,
2,Marseille,12,8,1,3,28,11,+17,25,2.08,22.9,12.6,+10.3,+0.86,WLDWW,"65,018",Mason Greenwood-8,Gerónimo Rulli,
3,Lens,12,8,1,3,21,11,+10,25,2.08,22.7,18.9,+3.9,+0.32,WWLWW,"37,160","Wesley Saïd,Odsonne Édouard-5",Robin Risser,
4,Strasbourg,12,7,1,4,24,16,+8,22,1.83,22.6,14.6,+8.0,+0.67,DLWLW,"24,261",Joaquín Panichelli-9,Mike Penders,
5,Lille,12,6,2,4,23,15,+8,20,1.67,22.5,15.5,+7.0,+0.58,WWLWL,"43,276","Hákon Arnar Haraldsson,Hamza Igamane-4",Berke Özer,
6,Lyon,12,6,2,4,18,15,+3,20,1.67,18.7,13.1,+5.6,+0.47,LWDDL,"50,852",Pavel Šulc-5,Dominik Greif,
7,Monaco,12,6,2,4,24,21,+3,20,1.67,26.2,19.2,+7.0,+0.58,DWWLL,"8,900",Ansu Fati-5,Philipp Köhn,
8,Rennes,12,4,6,2,19,17,+2,18,1.50,17.3,19.6,-2.3,-0.19,DLDWW,"27,438",Esteban Lepaul-7,Brice Samba,
9,Nice,12,5,2,5,17,18,-1,17,1.42,13.9,21.9,-8.0,-0.67,WWWLL,"22,016",Sofiane Diop-6,Yehvann Diouf,
10,Toulouse,12,4,4,4,18,16,+2,16,1.33,17.4,16.9,+0.6,+0.05,WLDDD,"24,950",Frank Magri-4,Guillaume Restes,
11,Paris FC,12,4,2,6,18,21,-3,14,1.17,16.3,16.9,-0.6,-0.05,LLDWL,"17,649",Ilan Kebbal-5,Obed Nkambadio,
12,Le Havre,12,3,5,4,13,17,-4,14,1.17,14.8,14.3,+0.5,+0.04,LWWDD,"18,234","Issa Soumaré,Rassoul Ndiaye-3",Mory Diaw,
13,Angers,12,3,4,5,10,15,-5,13,1.08,11.5,21.6,-10.1,-0.84,DWDLW,"11,737","Sidiki Cherif,Prosper Peter-3",Hervé Koffi,
14,Metz,12,3,2,7,12,27,-15,11,0.92,14.7,24.0,-9.3,-0.78,LLWWW,"22,616",Gauthier Hein-4,Jonathan Fischer,
15,Brest,12,2,4,6,14,21,-7,10,0.83,17.7,19.1,-1.5,-0.12,DLLDL,"14,674",Romain Del Castillo-4,Radosław Majecki,
16,Nantes,12,2,4,6,11,18,-7,10,0.83,9.5,20.7,-11.2,-0.93,LWLLD,"30,804","Youssef El-Arabi,Mostafa Mohamed... -2",Anthony Lopes,
17,Lorient,12,2,4,6,14,26,-12,10,0.83,15.7,18.9,-3.1,-0.26,DLDLD,"15,382",Pablo Pagis-4,Yvon Mvogo,
18,Auxerre,12,2,1,9,7,19,-12,7,0.58,11.8,17.7,-5.9,-0.49,DLLLL,"16,426",Lassine Sinayoko-3,Donovan Léon,
